RegionName	Zri
New York	2336
Los Angeles	2587
Chicago	1652
Houston	1433
Philadelphia	1189
Phoenix	1194
Las Vegas	1199
San Antonio	1229
San Diego	2352
Dallas	1298
San Jose	3284
Jacksonville	1146
San Francisco	4542
Indianapolis	1052
Austin	1769
Fort Worth	1328
Detroit	750
Columbus	1127
Memphis	848
Charlotte	1246
El Paso	1045
Boston	2466
Seattle	2364
Baltimore	1320
Denver	1942
Washington	2534
Nashville	1473
Milwaukee	959
Tucson	1034
Portland	1744
Oklahoma City	1113
Omaha	1259
Albuquerque	1196
Fresno	1197
Sacramento	1391
Mesa	1223
Long Beach	2248
Kansas City	976
Virginia Beach	1545
Colorado Springs	1341
Atlanta	1430
Miami	2147
Oakland	2707
Tulsa	961
Cleveland	830
Honolulu	2404
Minneapolis	1491
Baton Rouge	1291
New Orleans	1505
Arlington	1380
Raleigh	1345
Wichita	923
Tampa	1285
Anaheim	2466
Santa Ana	2375
Aurora	1711
Saint Louis	857
Corpus Christi	1420
Cincinnati	1041
Pittsburgh	1103
Riverside	1703
Marietta	1561
Anchorage	1941
Bakersfield	1350
Saint Paul	1349
Toledo	777
Silver Spring	2194
Lexington	1148
Newark	1453
Tallahassee	1209
Stockton	1267
Plano	1941
Buffalo	857
Chandler	1407
Louisville	918
Henderson	1356
Modesto	1235
Mobile	963
Jersey City	2180
Lubbock	1196
Glendale	1185
Durham	1255
Orlando	1236
Norfolk	1245
Saint Petersburg	1256
Pensacola	952
Fort Wayne	870
Greensboro	977
Lincoln	1250
San Bernardino	1330
Corona	2102
Chula Vista	2281
Chesapeake	1577
Hialeah	1725
Madison	1472
Garland	1337
Fontana	1785
Fort Myers	1545
Knoxville	944
Laredo	1178